Timestamp, JOINT_WRIST_Angle_x_L, JOINT_WRIST_Angle_y_L, JOINT_WRIST_Angle_z_L, JOINT_WRIST_Angle_w_L, JOINT_CENTER_Angle_x_L, JOINT_CENTER_Angle_y_L, JOINT_CENTER_Angle_z_L, JOINT_CENTER_Angle_w_L, JOINT_THUMB_BASE_Angle_x_L, JOINT_THUMB_BASE_Angle_y_L, JOINT_THUMB_BASE_Angle_z_L, JOINT_THUMB_BASE_Angle_w_L, JOINT_THUMB_JT1_Angle_x_L, JOINT_THUMB_JT1_Angle_y_L, JOINT_THUMB_JT1_Angle_z_L, JOINT_THUMB_JT1_Angle_w_L, JOINT_THUMB_JT2_Angle_x_L, JOINT_THUMB_JT2_Angle_y_L, JOINT_THUMB_JT2_Angle_z_L, JOINT_THUMB_JT2_Angle_w_L, JOINT_THUMB_TIP_Angle_x_L, JOINT_THUMB_TIP_Angle_y_L, JOINT_THUMB_TIP_Angle_z_L, JOINT_THUMB_TIP_Angle_w_L, JOINT_INDEX_BASE_Angle_x_L, JOINT_INDEX_BASE_Angle_y_L, JOINT_INDEX_BASE_Angle_z_L, JOINT_INDEX_BASE_Angle_w_L, JOINT_INDEX_JT1_Angle_x_L, JOINT_INDEX_JT1_Angle_y_L, JOINT_INDEX_JT1_Angle_z_L, JOINT_INDEX_JT1_Angle_w_L, JOINT_INDEX_JT2_Angle_x_L, JOINT_INDEX_JT2_Angle_y_L, JOINT_INDEX_JT2_Angle_z_L, JOINT_INDEX_JT2_Angle_w_L, JOINT_INDEX_TIP_Angle_x_L, JOINT_INDEX_TIP_Angle_y_L, JOINT_INDEX_TIP_Angle_z_L, JOINT_INDEX_TIP_Angle_w_L, JOINT_MIDDLE_BASE_Angle_x_L, JOINT_MIDDLE_BASE_Angle_y_L, JOINT_MIDDLE_BASE_Angle_z_L, JOINT_MIDDLE_BASE_Angle_w_L, JOINT_MIDDLE_JT1_Angle_x_L, JOINT_MIDDLE_JT1_Angle_y_L, JOINT_MIDDLE_JT1_Angle_z_L, JOINT_MIDDLE_JT1_Angle_w_L, JOINT_MIDDLE_JT2_Angle_x_L, JOINT_MIDDLE_JT2_Angle_y_L, JOINT_MIDDLE_JT2_Angle_z_L, JOINT_MIDDLE_JT2_Angle_w_L, JOINT_MIDDLE_TIP_Angle_x_L, JOINT_MIDDLE_TIP_Angle_y_L, JOINT_MIDDLE_TIP_Angle_z_L, JOINT_MIDDLE_TIP_Angle_w_L, JOINT_RING_BASE_Angle_x_L, JOINT_RING_BASE_Angle_y_L, JOINT_RING_BASE_Angle_z_L, JOINT_RING_BASE_Angle_w_L, JOINT_RING_JT1_Angle_x_L, JOINT_RING_JT1_Angle_y_L, JOINT_RING_JT1_Angle_z_L, JOINT_RING_JT1_Angle_w_L, JOINT_RING_JT2_Angle_x_L, JOINT_RING_JT2_Angle_y_L, JOINT_RING_JT2_Angle_z_L, JOINT_RING_JT2_Angle_w_L, JOINT_RING_TIP_Angle_x_L, JOINT_RING_TIP_Angle_y_L, JOINT_RING_TIP_Angle_z_L, JOINT_RING_TIP_Angle_w_L, JOINT_PINKY_BASE_Angle_x_L, JOINT_PINKY_BASE_Angle_y_L, JOINT_PINKY_BASE_Angle_z_L, JOINT_PINKY_BASE_Angle_w_L, JOINT_PINKY_JT1_Angle_x_L, JOINT_PINKY_JT1_Angle_y_L, JOINT_PINKY_JT1_Angle_z_L, JOINT_PINKY_JT1_Angle_w_L, JOINT_PINKY_JT2_Angle_x_L, JOINT_PINKY_JT2_Angle_y_L, JOINT_PINKY_JT2_Angle_z_L, JOINT_PINKY_JT2_Angle_w_L, JOINT_PINKY_TIP_Angle_x_L, JOINT_PINKY_TIP_Angle_y_L, JOINT_PINKY_TIP_Angle_z_L, JOINT_PINKY_TIP_Angle_w_L
131029684367968412, 0.8780666, -0.01825883, -0.4697145, 0.08963209, 0.8780666, -0.01825883, -0.4697145, 0.08963209, 0.7307434, -0.4871842, -0.3479939, 0.3279723, 0.8729198, -0.2831071, -0.3297063, 0.2217097, 0.8992698, -0.314278, -0.2898205, 0.09245171, 0.9479198, -0.1992224, -0.2387554, -0.06895137, 0.865723, -0.1478448, -0.4513066, 0.1580758, 0.8796838, -0.007246768, -0.4716496, 0.06041966, 0.8228016, -0.2058916, -0.424399, -0.317004, -0.5540652, 0.3905069, 0.2645946, 0.6859343, 0.8780666, -0.01825883, -0.4697145, 0.08963209, 0.8718323, 0.05020868, -0.4709331, 0.1249385, 0.8170317, -0.1925993, -0.4326712, -0.3288771, -0.5431317, 0.3831316, 0.2784046, 0.6933318, 0.8729379, 0.09650806, -0.4773953, 0.02755523, 0.8754212, 0.05088683, -0.4732077, 0.08439572, 0.8437266, -0.1292853, -0.4580396, -0.2482147, -0.6065813, 0.3409843, 0.3320313, 0.6368235, 0.8429176, 0.246626, -0.4749275, -0.05576222, 0.8697089, 0.06741367, -0.470948, 0.1314147, -0.6892507, 0.2984535, 0.3704889, 0.5464402, -0.6892507, 0.2984535, 0.3704889, 0.5464402
131029684368469926, 0.8995904, -0.02501097, -0.433529, 0.04652125, 0.8995904, -0.02501097, -0.433529, 0.04652125, 0.7452685, -0.5044436, -0.3406388, 0.2721705, 0.9196275, -0.2898511, -0.242785, 0.1064284, 0.9224023, -0.293124, -0.2365324, 0.08546809, 0.9440335, -0.1433654, -0.275413, 0.1113319, 0.8860123, -0.1577042, -0.4218907, 0.1100899, 0.8916332, 0.006323892, -0.4342807, 0.1278692, 0.810613, -0.2376854, -0.363518, -0.3927683, 0.7745036, -0.2675685, -0.3421211, -0.4598961, 0.8995904, -0.02501097, -0.433529, 0.04652125, 0.900218, 0.002410536, -0.4350047, 0.01930197, 0.9004209, -0.005610989, -0.4349752, 0.002699439, 0.781137, -0.2223469, -0.3738941, -0.4478727, 0.8951588, 0.09262311, -0.4358923, -0.01046363, 0.8938189, 0.04608469, -0.4325801, 0.1088047, 0.862491, -0.1311633, -0.4147837, -0.2585729, 0.7571689, -0.2408874, -0.3622467, -0.4872842, 0.8654755, 0.2466587, -0.4274531, -0.08599658, 0.8928559, 0.03022217, -0.4346809, 0.1137873, 0.8662822, -0.1421185, -0.411902, -0.2443242, 0.7749026, -0.2428021, -0.3618121, -0.457892
131029684368637098, 0.9003294, -0.0263364, -0.4340416, 0.01792197, 0.9003294, -0.0263364, -0.4340416, 0.01792197, 0.7451796, -0.5059585, -0.3564375, 0.2483256, 0.8987479, -0.3118152, -0.2869602, 0.1125939, 0.9043047, -0.3203766, -0.2731216, 0.07068461, 0.9374468, -0.1768697, -0.2944754, 0.05652277, 0.8865473, -0.1591243, -0.426625, 0.08188054, 0.8937263, -0.04573374, -0.4361521, 0.0945143, 0.7691517, -0.3000369, -0.3198407, -0.4648498, 0.747373, -0.3141757, -0.3059639, -0.4991124, 0.9003294, -0.0263364, -0.4340416, 0.01792197, 0.9000426, 2.168534E-05, -0.4344296, 0.03455645, 0.8995472, -0.0386351, -0.4327083, -0.04566882, 0.7561963, -0.2498131, -0.3554188, -0.489324, 0.8960645, 0.09140547, -0.4326676, -0.03888516, 0.899784, -0.06127746, -0.431971, 0.005908675, 0.8793697, -0.1541048, -0.4081735, -0.1906696, -0.6878581, 0.3272282, 0.2885751, 0.5800839, 0.8665789, 0.2456168, -0.4193421, -0.1134263, 0.8968828, -0.04888707, -0.434614, 0.06574097, 0.8259844, -0.2439603, -0.3629912, -0.3556269, -0.7058904, 0.3295483, 0.2875365, 0.557171
131029684369138612, 0.899457, -0.02778546, -0.4360656, 0.007204999, 0.899457, -0.02778546, -0.4360656, 0.007204999, 0.7436652, -0.5067119, -0.3639027, 0.2403745, 0.8958145, -0.322366, -0.2895471, 0.0987881, 0.8996865, -0.3288643, -0.2789448, 0.06783946, 0.9403604, -0.1936424, -0.2793799, 0.01310976, 0.8854703, -0.1604285, -0.4302108, 0.07158045, 0.8915472, -0.05020838, -0.4395559, 0.09702179, 0.749651, -0.3183354, -0.3072343, -0.4922327, 0.749651, -0.3183354, -0.3072343, -0.4922327, 0.899457, -0.02778546, -0.4360656, 0.007204999, 0.8993919, -0.001353092, -0.4363445, 0.0263772, 0.8978737, -0.04247791, -0.4342741, -0.058519, 0.7499363, -0.2527733, -0.355674, -0.4971893, 0.8953887, 0.08985495, -0.4332754, -0.04977461, 0.8979851, -0.07989461, -0.4322205, -0.02061407, 0.8605857, -0.1913191, -0.3957205, -0.2572829, -0.6836811, 0.334689, 0.2849229, 0.5825654, 0.8661827, 0.2439725, -0.4180497, -0.1242559, 0.8950638, -0.04745525, -0.4379414, 0.06939917, 0.8043593, -0.2650068, -0.351875, -0.3986997, -0.688042, 0.3403232, 0.279687, 0.5766746
131029684369472955, 0.8984219, -0.0287684, -0.4381779, 0.003241999, 0.8984219, -0.0287684, -0.4381779, 0.003241999, 0.7422641, -0.5069848, -0.3678136, 0.2381671, 0.8997021, -0.3129508, -0.2892029, 0.09465446, 0.902909, -0.3184749, -0.2804771, 0.06827588, 0.9425682, -0.1837866, -0.2787677, 0.008727273, 0.8843013, -0.1612476, -0.4328857, 0.0679732, 0.8912125, -0.04596597, -0.4418221, 0.09176378, 0.7557651, -0.310243, -0.3179134, -0.4811439, -0.743053, 0.318371, 0.3097734, 0.5005524, 0.8984219, -0.0287684, -0.4381779, 0.003241999, 0.8982, 0.001741552, -0.4384418, 0.03166213, 0.8968321, -0.04234886, -0.4363952, -0.05880469, 0.747277, -0.2548728, -0.3567549, -0.4993424, 0.8944908, 0.08874531, -0.4348525, -0.05397944, 0.8970539, -0.07393838, -0.4353963, -0.01604455, 0.8708084, -0.1693179, -0.4078827, -0.2159996, -0.6656291, 0.341848, 0.2796011, 0.6015821, 0.865491, 0.2427238, -0.4188726, -0.1286707, 0.8945019, -0.04920142, -0.4400392, 0.06173411, 0.8264453, -0.2421167, -0.3707219, -0.347754, -0.6799064, 0.344174, 0.2785669, 0.5845271
131029684369807298, 0.897621, -0.03223003, -0.4395801, -0.002643939, 0.897621, -0.03223003, -0.4395801, -0.002643939, 0.7397287, -0.509474, -0.3721587, 0.2339564, 0.8989716, -0.3151793, -0.2908342, 0.08903634, 0.9016469, -0.3199954, -0.2832606, 0.06632667, 0.9431087, -0.1882591, -0.2739505, -0.007465173, 0.8829976, -0.1645528, -0.4351425, 0.06235917, 0.8895258, -0.04058062, -0.444344, 0.09826164, 0.7484878, -0.3142054, -0.3168017, -0.490589, -0.7377139, 0.3209766, 0.3099393, 0.5066457, 0.897621, -0.03223003, -0.4395801, -0.002643939, 0.8975318, 0.001008083, -0.4398805, 0.03067053, 0.8960835, -0.0431064, -0.4377645, -0.05948482, 0.7462886, -0.2562135, -0.357562, -0.4995572, 0.8941486, 0.08520875, -0.4354744, -0.05999804, 0.8962564, -0.06933317, -0.4379573, -0.01052348, 0.8691412, -0.1694601, -0.4097524, -0.2190427, -0.6607379, 0.3437775, 0.280055, 0.6056499, 0.8657682, 0.2391815, -0.41844, -0.1347059, 0.8935847, -0.06429679, -0.4412219, 0.05191892, 0.8095104, -0.2675627, -0.3566805, -0.3819452, -0.6979203, 0.3434658, 0.2843274, 0.5604432
131029684370141641, 0.8969927, -0.03347849, -0.4407396, -0.005641569, 0.8969927, -0.03347849, -0.4407396, -0.005641569, 0.738528, -0.5101894, -0.3747472, 0.2320511, 0.8993379, -0.315145, -0.2908948, 0.08517737, 0.9028597, -0.3219706, -0.2800046, 0.05269357, 0.9432626, -0.1882557, -0.2732799, -0.01155476, 0.8821916, -0.1656947, -0.4367323, 0.05956585, 0.8894275, -0.04313258, -0.4456068, 0.0921566, 0.7498211, -0.3135503, -0.3195499, -0.4871781, -0.7389502, 0.3204868, 0.3125926, 0.5035143, 0.8969927, -0.03347849, -0.4407396, -0.005641569, 0.8970136, -0.001480562, -0.441116, 0.02794763, 0.8954264, -0.04476257, -0.4388415, -0.06021618, 0.7453539, -0.2581863, -0.3576666, -0.499862, 0.8936887, 0.08388896, -0.4362326, -0.06312136, 0.8952745, -0.07544382, -0.4388563, -0.01403152, 0.8677803, -0.1748518, -0.4095284, -0.2206144, -0.6621656, 0.3468634, 0.2792355, 0.6027022, 0.8655444, 0.2378019, -0.4186443, -0.1379134, 0.8924559, -0.09901171, -0.4391855, 0.02890131, 0.8005904, -0.2944454, -0.3405717, -0.3954337, -0.6929185, 0.3626615, 0.2667656, 0.5631844
131029684370475984, 0.8862911, -0.0397139, -0.4612039, -0.01420896, 0.8862911, -0.0397139, -0.4612039, -0.01420896, 0.7261521, -0.5096982, -0.3966099, 0.235821, 0.9028543, -0.3155069, -0.286162, 0.05848822, 0.905712, -0.323039, -0.2736284, 0.02142634, 0.9417707, -0.1807806, -0.2835239, -0.0007305127, 0.8706858, -0.1702798, -0.4582382, 0.05411739, 0.8810371, -0.02851186, -0.4656786, 0.07812937, 0.7374815, -0.3126755, -0.3462709, -0.4883149, -0.7240126, 0.3219212, 0.3376925, 0.5080711, 0.8862911, -0.0397139, -0.4612039, -0.01420896, 0.8868265, 0.01226729, -0.4608693, 0.0314304, 0.8853262, -0.03542629, -0.4596695, -0.06038571, 0.7365221, -0.2605148, -0.3803723, -0.4949587, 0.8838924, 0.07631005, -0.4554037, -0.07428659, 0.8855549, -0.05260025, -0.4615278, -0.00422077, 0.8567876, -0.1655242, -0.4340235, -0.2239203, -0.6536761, 0.3487338, 0.3068541, 0.5974386, 0.857213, 0.2286371, -0.4355853, -0.152238, 0.8791097, -0.02866869, -0.467438, 0.08857768, 0.7702951, -0.2921339, -0.36603, -0.432811, -0.7082807, 0.3367543, 0.3254485, 0.5282219
131029684370810327, 0.8870503, -0.0296965, -0.460544, -0.01261353, 0.8870503, -0.0296965, -0.460544, -0.01261353, 0.7321747, -0.5016576, -0.3951961, 0.2368119, 0.9063476, -0.3069341, -0.2847634, 0.05688006, 0.9102092, -0.3195958, -0.2632813, -0.007790739, 0.9414101, -0.1677024, -0.2920671, 0.01788257, 0.8729174, -0.1604847, -0.4573497, 0.05559774, 0.8808315, -0.05110283, -0.4649174, 0.07332245, 0.7289239, -0.3334522, -0.3279777, -0.4999101, -0.7198479, 0.3392763, 0.3219492, 0.512893, 0.8870503, -0.0296965, -0.460544, -0.01261353, 0.8874996, -0.01372741, -0.4604911, -0.01019813, 0.8766162, -0.08043587, -0.4536194, -0.1389369, 0.7346368, -0.2654639, -0.3765227, -0.4980645, 0.8833376, 0.08634086, -0.4549576, -0.07261866, 0.8858576, -0.06027663, -0.4597338, -0.01636159, 0.8618053, -0.1573245, -0.4361622, -0.205677, -0.6630872, 0.3443541, 0.3104975, 0.5876452, 0.8549249, 0.2384191, -0.4354357, -0.150518, 0.8842955, -0.06043964, -0.4619198, 0.03160129, 0.8257709, -0.2368491, -0.4011551, -0.3179303, -0.6562467, 0.3652403, 0.2891754, 0.5935634
131029684371144670, 0.8773598, -0.03057909, -0.4785409, -0.01741515, 0.8773598, -0.03057909, -0.4785409, -0.01741515, 0.7235276, -0.4971952, -0.4129545, 0.242432, 0.9067195, -0.3052627, -0.2879184, 0.0421593, 0.9094896, -0.3172003, -0.2681527, -0.01751443, 0.9402951, -0.1637964, -0.2980654, 0.01314673, 0.8632029, -0.1599252, -0.4758587, 0.05350898, 0.8735274, -0.05025927, -0.4817913, 0.04796971, -0.7096705, 0.341842, 0.3432097, 0.5115849, -0.7008991, 0.347609, 0.3373675, 0.5235376, 0.8773598, -0.03057909, -0.4785409, -0.01741515, 0.876287, -0.02569203, -0.4773602, -0.05990236, 0.8720207, -0.05032562, -0.4753948, -0.1051051, -0.7076667, 0.2775568, 0.3892236, 0.5202643, 0.8738453, 0.08420096, -0.4721738, -0.07972828, 0.8766104, -0.04907899, -0.4784681, -0.01461967, 0.8518258, -0.1533401, -0.4558808, -0.2074904, -0.6484411, 0.3529248, 0.3267791, 0.5900709, 0.8459483, 0.2346634, -0.4511557, -0.1605092, 0.8728659, -0.03653555, -0.4826173, 0.0620562, 0.7874889, -0.2723876, -0.400074, -0.3815848, -0.690605, 0.3498266, 0.334478, 0.5374107
