Timestamp, JOINT_WRIST_x_L, JOINT_WRIST_y_L, JOINT_WRIST_z_L, JOINT_CENTER_x_L, JOINT_CENTER_y_L, JOINT_CENTER_z_L, JOINT_THUMB_BASE_x_L, JOINT_THUMB_BASE_y_L, JOINT_THUMB_BASE_z_L, JOINT_THUMB_JT1_x_L, JOINT_THUMB_JT1_y_L, JOINT_THUMB_JT1_z_L, JOINT_THUMB_JT2_x_L, JOINT_THUMB_JT2_y_L, JOINT_THUMB_JT2_z_L, JOINT_THUMB_TIP_x_L, JOINT_THUMB_TIP_y_L, JOINT_THUMB_TIP_z_L, JOINT_INDEX_BASE_x_L, JOINT_INDEX_BASE_y_L, JOINT_INDEX_BASE_z_L, JOINT_INDEX_JT1_x_L, JOINT_INDEX_JT1_y_L, JOINT_INDEX_JT1_z_L, JOINT_INDEX_JT2_x_L, JOINT_INDEX_JT2_y_L, JOINT_INDEX_JT2_z_L, JOINT_INDEX_TIP_x_L, JOINT_INDEX_TIP_y_L, JOINT_INDEX_TIP_z_L, JOINT_MIDDLE_BASE_x_L, JOINT_MIDDLE_BASE_y_L, JOINT_MIDDLE_BASE_z_L, JOINT_MIDDLE_JT1_x_L, JOINT_MIDDLE_JT1_y_L, JOINT_MIDDLE_JT1_z_L, JOINT_MIDDLE_JT2_x_L, JOINT_MIDDLE_JT2_y_L, JOINT_MIDDLE_JT2_z_L, JOINT_MIDDLE_TIP_x_L, JOINT_MIDDLE_TIP_y_L, JOINT_MIDDLE_TIP_z_L, JOINT_RING_BASE_x_L, JOINT_RING_BASE_y_L, JOINT_RING_BASE_z_L, JOINT_RING_JT1_x_L, JOINT_RING_JT1_y_L, JOINT_RING_JT1_z_L, JOINT_RING_JT2_x_L, JOINT_RING_JT2_y_L, JOINT_RING_JT2_z_L, JOINT_RING_TIP_x_L, JOINT_RING_TIP_y_L, JOINT_RING_TIP_z_L, JOINT_PINKY_BASE_x_L, JOINT_PINKY_BASE_y_L, JOINT_PINKY_BASE_z_L, JOINT_PINKY_JT1_x_L, JOINT_PINKY_JT1_y_L, JOINT_PINKY_JT1_z_L, JOINT_PINKY_JT2_x_L, JOINT_PINKY_JT2_y_L, JOINT_PINKY_JT2_z_L, JOINT_PINKY_TIP_x_L, JOINT_PINKY_TIP_y_L, JOINT_PINKY_TIP_z_L
131029684367968412, 0.09070437, -0.102644, 0.2228509, 0.09289417, -0.06134686, 0.2301824, 0.08040053, -0.09603735, 0.2402829, 0.0671742, -0.06786451, 0.2620855, 0.05054549, -0.04234018, 0.27341, 0.041594, -0.02247793, 0.2726341, 0.08096023, -0.02470152, 0.2578655, 0.08290697, 0.01897261, 0.2628435, 0.06953342, 0.03468577, 0.2552117, 0.05361899, 0.0297657, 0.2441426, 0.09497969, -0.02201625, 0.2371647, 0.1048304, 0.02424322, 0.2453517, 0.08804967, 0.04410896, 0.2349709, 0.07200496, 0.039009, 0.2241747, 0.1062884, -0.02425571, 0.219328, 0.113554, 0.01790905, 0.2236109, 0.103752, 0.03646275, 0.2170018, 0.08702081, 0.03559017, 0.2060791, 0.1190031, -0.03461768, 0.1972463, 0.1279216, 0.0007680543, 0.2033545, 0.1140442, 0.004587225, 0.1943085, 0.1017994, 0.00795708, 0.1863266
131029684368469926, 0.08845074, -0.1105516, 0.2264401, 0.08825491, -0.06878594, 0.2308663, 0.07638496, -0.1032474, 0.2424011, 0.05809056, -0.0724933, 0.2551878, 0.04183, -0.04605302, 0.2648188, 0.03726598, -0.02568957, 0.2711228, 0.07240625, -0.03091395, 0.254661, 0.07778919, 0.01164368, 0.2644524, 0.06302942, 0.02437019, 0.2542453, 0.04844651, 0.03304629, 0.2436593, 0.0880684, -0.02900913, 0.2350817, 0.08908278, 0.01895455, 0.2366491, 0.08886562, 0.04695237, 0.2369219, 0.07522, 0.05695125, 0.2262533, 0.100987, -0.03194176, 0.2184816, 0.1085772, 0.009857479, 0.2251308, 0.09888048, 0.02815867, 0.2177119, 0.0845241, 0.03633977, 0.206444, 0.1160187, -0.0431964, 0.1983814, 0.1216756, -0.007222105, 0.2049274, 0.114068, 0.007061566, 0.1997215, 0.1034535, 0.01400303, 0.1917123
131029684368637098, 0.09074263, -0.1039049, 0.2285446, 0.08940429, -0.06199015, 0.2308602, 0.07845178, -0.0961372, 0.2441102, 0.05960885, -0.06649006, 0.2586013, 0.04203204, -0.0409865, 0.2684438, 0.0355286, -0.02068972, 0.2730249, 0.07248673, -0.02341319, 0.2527067, 0.07251745, 0.01961665, 0.2618954, 0.05582158, 0.02814792, 0.2503861, 0.0403209, 0.03423513, 0.2393102, 0.08812968, -0.02207133, 0.2330656, 0.08957274, 0.02581403, 0.2360505, 0.08651988, 0.05361364, 0.2346862, 0.07200698, 0.06153986, 0.2234367, 0.1011556, -0.02548363, 0.2166419, 0.09663333, 0.01719044, 0.2193756, 0.08724631, 0.0365459, 0.2147658, 0.07154693, 0.03880288, 0.2025824, 0.1165266, -0.03732303, 0.1971433, 0.1153963, -0.0008197017, 0.2030788, 0.104156, 0.009856735, 0.1961025, 0.09237108, 0.01228549, 0.1871461
131029684369138612, 0.09114718, -0.1032553, 0.229955, 0.08931179, -0.06132449, 0.2315171, 0.07882082, -0.09535454, 0.2454253, 0.05904743, -0.06599414, 0.2592448, 0.0410456, -0.04082315, 0.2691748, 0.033266, -0.02066554, 0.2720711, 0.07201047, -0.02256337, 0.2527279, 0.07182421, 0.02038643, 0.2622819, 0.05466988, 0.02726668, 0.2503492, 0.03907503, 0.03352146, 0.2395012, 0.08756379, -0.0213904, 0.2330049, 0.08855188, 0.02654263, 0.235339, 0.08499291, 0.05424982, 0.2334296, 0.07033686, 0.06180615, 0.2221114, 0.1005694, -0.0249435, 0.2165951, 0.09363317, 0.01747101, 0.2179729, 0.08190899, 0.03494792, 0.2115618, 0.06611672, 0.03689195, 0.1994447, 0.1160104, -0.03694936, 0.1972541, 0.1151163, -0.0004724041, 0.2033887, 0.1030989, 0.008735134, 0.1956554, 0.09123552, 0.01028393, 0.1866076
131029684369472955, 0.09131894, -0.1038329, 0.2318709, 0.08926719, -0.0619033, 0.2331744, 0.07901965, -0.09589895, 0.2473457, 0.05970135, -0.06602318, 0.2606964, 0.04225508, -0.04041889, 0.2705096, 0.03480827, -0.02009491, 0.273102, 0.07185423, -0.02309973, 0.2542155, 0.07181709, 0.01997333, 0.2631994, 0.05477004, 0.02755233, 0.2515393, 0.03910507, 0.03347582, 0.2406068, 0.08731314, -0.02197035, 0.2344159, 0.08879598, 0.02593312, 0.2370727, 0.08523203, 0.05363904, 0.2351543, 0.07048789, 0.06106692, 0.2238655, 0.1002643, -0.02555922, 0.2179708, 0.09395947, 0.01694849, 0.2195016, 0.08359545, 0.03563422, 0.2142642, 0.06776556, 0.03648378, 0.2020702, 0.1156828, -0.03760637, 0.1986376, 0.1144362, -0.001067523, 0.2043262, 0.1032497, 0.009827664, 0.1976063, 0.09134461, 0.01102383, 0.1885599
131029684369807298, 0.09136774, -0.1036149, 0.2330242, 0.08883997, -0.06170274, 0.2340149, 0.07902211, -0.09570404, 0.2484739, 0.05945648, -0.06585622, 0.2615235, 0.04192369, -0.04029798, 0.2713025, 0.0340934, -0.02004565, 0.2732441, 0.07104343, -0.02294109, 0.2548109, 0.0717091, 0.02006432, 0.2640894, 0.05452278, 0.02713061, 0.2523124, 0.03877004, 0.03274197, 0.2413414, 0.08643256, -0.0217864, 0.2349584, 0.08781459, 0.0261232, 0.2375585, 0.08419322, 0.05382099, 0.2356303, 0.06939995, 0.06121288, 0.2243822, 0.09937761, -0.02535254, 0.2185036, 0.09363718, 0.01722454, 0.2203039, 0.08320751, 0.0358499, 0.2149824, 0.06733703, 0.03645011, 0.2028264, 0.1148784, -0.03737003, 0.1992178, 0.112322, -0.0008754209, 0.2047503, 0.1003258, 0.008730534, 0.1974827, 0.08835399, 0.01076858, 0.188678
131029684370141641, 0.09129853, -0.1037181, 0.2335643, 0.08856715, -0.06181491, 0.2343787, 0.07895183, -0.09580048, 0.2490097, 0.05929487, -0.06589992, 0.2617988, 0.04135878, -0.04031862, 0.2707511, 0.03347886, -0.02006964, 0.272519, 0.07063098, -0.02305057, 0.2550493, 0.07086878, 0.02003834, 0.2639537, 0.05367427, 0.02726947, 0.2522893, 0.03790553, 0.03301993, 0.2414137, 0.08596583, -0.02190712, 0.2351543, 0.08702184, 0.02601768, 0.2376236, 0.08329745, 0.05370242, 0.2357042, 0.06844849, 0.06104153, 0.224495, 0.09888813, -0.02548156, 0.2186834, 0.09254986, 0.01701201, 0.2204504, 0.0818983, 0.03552528, 0.2151775, 0.06597923, 0.03618272, 0.2030883, 0.1144008, -0.03750698, 0.1994121, 0.1088012, -0.00129424, 0.2045386, 0.09620745, 0.00744152, 0.1971844, 0.08416146, 0.00898052, 0.1883796
131029684370475984, 0.09092697, -0.1040108, 0.2350744, 0.08741986, -0.06216025, 0.2355552, 0.07914425, -0.096147, 0.250981, 0.05876716, -0.06597237, 0.261856, 0.04013053, -0.04028523, 0.2688629, 0.03269843, -0.01991018, 0.2710676, 0.06969158, -0.0235017, 0.2565999, 0.07068273, 0.01988959, 0.2638257, 0.05309674, 0.02709602, 0.2527442, 0.03691087, 0.03262524, 0.2423787, 0.08407976, -0.02230258, 0.236013, 0.08651473, 0.02558814, 0.2381461, 0.08320393, 0.05331366, 0.2360642, 0.06799819, 0.06079958, 0.225446, 0.09630609, -0.02582548, 0.2190083, 0.09213264, 0.01693505, 0.2207747, 0.08161639, 0.03552335, 0.2154942, 0.06516497, 0.03638142, 0.2041533, 0.1111567, -0.0377812, 0.1991802, 0.1123557, -0.001422625, 0.2059342, 0.09931832, 0.006306679, 0.1982345, 0.08700556, 0.009534026, 0.1902985
131029684370810327, 0.08982255, -0.1044381, 0.23565, 0.08712184, -0.06252551, 0.235859, 0.07816234, -0.0962478, 0.2514819, 0.05825098, -0.06565353, 0.2620426, 0.03920921, -0.03979667, 0.267051, 0.03255351, -0.01923682, 0.2699206, 0.07010065, -0.02339964, 0.2566219, 0.06913933, 0.01989744, 0.2643961, 0.05123042, 0.02600902, 0.2531748, 0.03485631, 0.03088231, 0.2427757, 0.08454973, -0.02260879, 0.236058, 0.08292932, 0.02536314, 0.2357959, 0.07545131, 0.05191983, 0.2310187, 0.06014923, 0.05917826, 0.220381, 0.09673931, -0.02647459, 0.2191015, 0.09150032, 0.01618993, 0.2202381, 0.08158749, 0.03523955, 0.2154582, 0.06515552, 0.03668329, 0.2041487, 0.1113957, -0.03883996, 0.1993803, 0.1085209, -0.002184171, 0.2035142, 0.09753471, 0.009471809, 0.1978184, 0.08519476, 0.00990027, 0.1893012
131029684371144670, 0.08901607, -0.1048987, 0.2359922, 0.08606239, -0.06300274, 0.235938, 0.07795621, -0.0966333, 0.2522111, 0.05784287, -0.06585047, 0.2617961, 0.03878572, -0.03991045, 0.2662894, 0.03224143, -0.01928774, 0.268957, 0.06965141, -0.02379026, 0.2570263, 0.06782176, 0.01978496, 0.2628446, 0.04942202, 0.02512765, 0.2520323, 0.03261148, 0.0293307, 0.2420453, 0.08324938, -0.02310181, 0.2358863, 0.07834295, 0.02449035, 0.2320245, 0.07308728, 0.05172988, 0.2282316, 0.0571306, 0.05782137, 0.2178259, 0.09476534, -0.02705014, 0.2184838, 0.09046378, 0.01572433, 0.2194012, 0.08055454, 0.03479545, 0.2147001, 0.06368759, 0.03588587, 0.2040082, 0.1086874, -0.0395082, 0.1982945, 0.1085438, -0.00289195, 0.2036076, 0.09606019, 0.006634782, 0.197096, 0.08341986, 0.009299113, 0.1894721
