Timestamp, JOINT_WRIST_Angle_x_L, JOINT_WRIST_Angle_y_L, JOINT_WRIST_Angle_z_L, JOINT_WRIST_Angle_w_L, JOINT_CENTER_Angle_x_L, JOINT_CENTER_Angle_y_L, JOINT_CENTER_Angle_z_L, JOINT_CENTER_Angle_w_L, JOINT_THUMB_BASE_Angle_x_L, JOINT_THUMB_BASE_Angle_y_L, JOINT_THUMB_BASE_Angle_z_L, JOINT_THUMB_BASE_Angle_w_L, JOINT_THUMB_JT1_Angle_x_L, JOINT_THUMB_JT1_Angle_y_L, JOINT_THUMB_JT1_Angle_z_L, JOINT_THUMB_JT1_Angle_w_L, JOINT_THUMB_JT2_Angle_x_L, JOINT_THUMB_JT2_Angle_y_L, JOINT_THUMB_JT2_Angle_z_L, JOINT_THUMB_JT2_Angle_w_L, JOINT_THUMB_TIP_Angle_x_L, JOINT_THUMB_TIP_Angle_y_L, JOINT_THUMB_TIP_Angle_z_L, JOINT_THUMB_TIP_Angle_w_L, JOINT_INDEX_BASE_Angle_x_L, JOINT_INDEX_BASE_Angle_y_L, JOINT_INDEX_BASE_Angle_z_L, JOINT_INDEX_BASE_Angle_w_L, JOINT_INDEX_JT1_Angle_x_L, JOINT_INDEX_JT1_Angle_y_L, JOINT_INDEX_JT1_Angle_z_L, JOINT_INDEX_JT1_Angle_w_L, JOINT_INDEX_JT2_Angle_x_L, JOINT_INDEX_JT2_Angle_y_L, JOINT_INDEX_JT2_Angle_z_L, JOINT_INDEX_JT2_Angle_w_L, JOINT_INDEX_TIP_Angle_x_L, JOINT_INDEX_TIP_Angle_y_L, JOINT_INDEX_TIP_Angle_z_L, JOINT_INDEX_TIP_Angle_w_L, JOINT_MIDDLE_BASE_Angle_x_L, JOINT_MIDDLE_BASE_Angle_y_L, JOINT_MIDDLE_BASE_Angle_z_L, JOINT_MIDDLE_BASE_Angle_w_L, JOINT_MIDDLE_JT1_Angle_x_L, JOINT_MIDDLE_JT1_Angle_y_L, JOINT_MIDDLE_JT1_Angle_z_L, JOINT_MIDDLE_JT1_Angle_w_L, JOINT_MIDDLE_JT2_Angle_x_L, JOINT_MIDDLE_JT2_Angle_y_L, JOINT_MIDDLE_JT2_Angle_z_L, JOINT_MIDDLE_JT2_Angle_w_L, JOINT_MIDDLE_TIP_Angle_x_L, JOINT_MIDDLE_TIP_Angle_y_L, JOINT_MIDDLE_TIP_Angle_z_L, JOINT_MIDDLE_TIP_Angle_w_L, JOINT_RING_BASE_Angle_x_L, JOINT_RING_BASE_Angle_y_L, JOINT_RING_BASE_Angle_z_L, JOINT_RING_BASE_Angle_w_L, JOINT_RING_JT1_Angle_x_L, JOINT_RING_JT1_Angle_y_L, JOINT_RING_JT1_Angle_z_L, JOINT_RING_JT1_Angle_w_L, JOINT_RING_JT2_Angle_x_L, JOINT_RING_JT2_Angle_y_L, JOINT_RING_JT2_Angle_z_L, JOINT_RING_JT2_Angle_w_L, JOINT_RING_TIP_Angle_x_L, JOINT_RING_TIP_Angle_y_L, JOINT_RING_TIP_Angle_z_L, JOINT_RING_TIP_Angle_w_L, JOINT_PINKY_BASE_Angle_x_L, JOINT_PINKY_BASE_Angle_y_L, JOINT_PINKY_BASE_Angle_z_L, JOINT_PINKY_BASE_Angle_w_L, JOINT_PINKY_JT1_Angle_x_L, JOINT_PINKY_JT1_Angle_y_L, JOINT_PINKY_JT1_Angle_z_L, JOINT_PINKY_JT1_Angle_w_L, JOINT_PINKY_JT2_Angle_x_L, JOINT_PINKY_JT2_Angle_y_L, JOINT_PINKY_JT2_Angle_z_L, JOINT_PINKY_JT2_Angle_w_L, JOINT_PINKY_TIP_Angle_x_L, JOINT_PINKY_TIP_Angle_y_L, JOINT_PINKY_TIP_Angle_z_L, JOINT_PINKY_TIP_Angle_w_L
131029684367968412, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0.5372996, 0.8433914, 0.06217247, 0.07800229, -0.249375, 0.9632561, 0.1402431, 0, -0.01402431, 0.9900178, 0.1323458, 0.01993274, -0.1608125, 0.9778684, 0, 0, 0.1478094, 0.9890159, 0.02028958, -0.003523672, -0.1710716, 0.9850433, 0.4226098, 0, 0, 0.9063118, 0.5, 0, 0, 0.8660254, 0, 0, 0, 1, -0.06374263, 0.002783063, -0.04353051, 0.9970127, 0.5012296, 0, 0, 0.8653143, 0.5, 0, 0, 0.8660254, 0, 0, -0.1305262, 0.9914449, -0.02817456, -0.001901642, 0.06731495, 0.9973321, 0.3729863, 0, 0, 0.9278368, 0.5, 0, 0, 0.8660254, 0, 0, -0.3007058, 0.953717, -0.07513726, -0.02009094, 0.2463422, 0.9660571, 0.7313537, 0, 0, 0.6819984, 0, 0, 0, 1
131029684368469926, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0.5372996, 0.8433914, 0.147241, 0.107119, -0.2777086, 0.9432516, 0.02217798, 0, -0.002217792, 0.9997516, -0.06882767, -0.01036621, -0.1416837, 0.9874619, 0, 0, 0.1478094, 0.9890159, -0.08628979, 0.01225545, -0.1400804, 0.9862968, 0.5593787, 0, 0, 0.8289122, 0.08454616, 0, 0, 0.9964195, 0, 0, 0, 1, 0.01259047, -0.0004605616, -0.03655282, 0.9992523, 0.01843915, 0, 0, 0.99983, 0.5, 0, 0, 0.8660254, 0, 0, -0.1305262, 0.9914449, -0.08677109, -0.008179196, 0.09348864, 0.9917982, 0.4008142, 0, 0, 0.9161593, 0.2768975, 0, 0, 0.9608995, 0, 0, -0.3007058, 0.953717, -0.0809634, -0.02521725, 0.2800939, 0.9562199, 0.390943, 0, 0, 0.9204149, 0.2559267, 0, 0, 0.9666962
131029684368637098, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0.5372996, 0.8433914, 0.1052322, 0.08604678, -0.2534977, 0.9577374, 0.04506338, -9.322791E-10, -0.004506339, 0.998974, -0.03088685, -0.004651899, -0.1457693, 0.9888254, 0, 0, 0.1478094, 0.9890159, -0.06050384, 0.005911314, -0.09705862, 0.9934204, 0.6043786, 0, 0, 0.7966973, 0.04516268, 0, 0, 0.9989796, 0, 0, 0, 1, -0.02643238, 0.0004366188, -0.01651031, 0.9995142, 0.08898266, 0, 0, 0.9960332, 0.5, 0, 0, 0.8660254, 0, 0, -0.1305262, 0.9914449, 0.0257145, 0.004076142, 0.1565075, 0.9873335, 0.2183144, 0, 0, 0.9758785, 0.4680497, 0, 0, 0.8837021, 0, 0, -0.3007058, 0.953717, -0.03145098, -0.01112864, 0.3395187, 0.9400075, 0.4615397, 0, 0, 0.8871195, 0.2586565, 0, 0, 0.9659693
131029684369138612, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0.5372996, 0.8433914, 0.1124585, 0.08323175, -0.247838, 0.9586459, 0.03340612, 0, -0.003340608, 0.9994363, 0.01413636, 0.00212909, -0.1503296, 0.9885325, 0, 0, 0.1478094, 0.9890159, -0.07100966, 0.006310586, -0.08829531, 0.99354, 0.6360817, 0, 0, 0.7716217, 0, 0, 0, 1, 0, 0, 0, 1, -0.02877903, 0.0004438552, -0.01541464, 0.9994668, 0.0942623, 0, 0, 0.9955474, 0.4971923, 0, 0, 0.8676404, 0, 0, -0.1305262, 0.9914449, 0.04721426, 0.007898435, 0.1648072, 0.9851635, 0.2643721, 0, 0, 0.9644207, 0.4033801, 0, 0, 0.9150325, 0, 0, -0.3007058, 0.953717, -0.044645, -0.01619102, 0.3429049, 0.9381689, 0.5120427, 0, 0, 0.85896, 0.2351638, 0, 0, 0.9719558
131029684369472955, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0.5372996, 0.8433914, 0.112507, 0.08971151, -0.2579065, 0.9553943, 0.02836472, 9.317012E-10, -0.002836478, 0.9995936, 0.01924213, 0.002898076, -0.150827, 0.9883686, 0, 0, 0.1478094, 0.9890159, -0.07191299, 0.006761574, -0.09336697, 0.9930083, 0.6206123, 0, 0, 0.7841176, 0.02589401, 0, 0, 0.9996647, 0, 0, 0, 1, -0.03891036, 0.0005823022, -0.01495221, 0.9991307, 0.1005415, 0, 0, 0.9949329, 0.5, 0, 0, 0.8660254, 0, 0, -0.1305262, 0.9914449, 0.03672092, 0.006043112, 0.162272, 0.986044, 0.2233537, 0, 0, 0.9747375, 0.4721796, 0, 0, 0.8815024, 0, 0, -0.3007058, 0.953717, -0.0411094, -0.01482117, 0.3421792, 0.938618, 0.4503873, 0, 0, 0.8928333, 0.3067867, 0, 0, 0.9517783
131029684369807298, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0.5372996, 0.8433914, 0.1135817, 0.09104524, -0.2597623, 0.9546379, 0.02444123, 9.316037E-10, -0.002444133, 0.9996983, 0.03494766, 0.005263502, -0.1523321, 0.9876972, 0, 0, 0.1478094, 0.9890159, -0.0867544, 0.008354514, -0.09549253, 0.9916073, 0.6366985, 0, 0, 0.7711128, 0.0216052, 0, 0, 0.9997666, 0, 0, 0, 1, -0.04452403, 0.0006769443, -0.01518718, 0.9988927, 0.1002758, 0, 0, 0.9949597, 0.5, 0, 0, 0.8660254, 0, 0, -0.1305262, 0.9914449, 0.02314655, 0.003754213, 0.1600569, 0.9868292, 0.2329789, 0, 0, 0.9724818, 0.4750711, 0, 0, 0.8799474, 0, 0, -0.3007058, 0.953717, -0.03288439, -0.01184114, 0.3505552, 0.9358897, 0.4784504, 0, 0, 0.8781145, 0.2335494, 0, 0, 0.9723449
131029684370141641, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0.5372996, 0.8433914, 0.1154748, 0.0925172, -0.2616718, 0.9537474, 0.03493143, 0, -0.003493138, 0.9993836, 0.02486056, 0.003744274, -0.1513698, 0.9881575, 0, 0, 0.1478094, 0.9890159, -0.08331759, 0.00803173, -0.09561743, 0.9918926, 0.6283476, 0, 0, 0.7779327, 0.02194336, 0, 0, 0.9997593, 0, 0, 0, 1, -0.04424474, 0.0006155049, -0.0138964, 0.9989239, 0.09813552, 0, 0, 0.9951731, 0.5, 0, 0, 0.8660254, 0, 0, -0.1305262, 0.9914449, 0.02575513, 0.004286192, 0.1641071, 0.986097, 0.2311726, 0, 0, 0.9729127, 0.4701554, 0, 0, 0.8825837, 0, 0, -0.3007058, 0.953717, -0.002207154, 0.0002693355, 0.3705957, 0.9287916, 0.4716408, 0, 0, 0.8817908, 0.221841, 0, 0, 0.9750829
131029684370475984, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0.5372996, 0.8433914, 0.1497176, 0.1056921, -0.2753633, 0.9437102, 0.03973848, 9.320661E-10, -0.003973867, 0.9992023, -0.02128227, -0.003205343, -0.1467683, 0.9889367, 0, 0, 0.1478094, 0.9890159, -0.08657715, 0.01002598, -0.1145974, 0.9895813, 0.6235759, 0, 0, 0.7817628, 0.02703074, 0, 0, 0.9996346, 0, 0, 0, 1, -0.06441802, 0.001617375, -0.02504742, 0.9976073, 0.1033436, 0, 0, 0.9946457, 0.5, 0, 0, 0.8660254, 0, 0, -0.1305262, 0.9914449, -0.002880596, -0.0004264122, 0.1464329, 0.9892163, 0.2482418, 0, 0, 0.9686981, 0.4660735, 0, 0, 0.884746, 0, 0, -0.3007058, 0.953717, -0.09040256, -0.03365433, 0.3353171, 0.9371538, 0.5747802, 0, 0, 0.8183079, 0.1285227, 0, 0, 0.9917066
131029684370810327, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0.5372996, 0.8433914, 0.1514333, 0.1055371, -0.2749033, 0.9435879, 0.06903303, 0, -0.006903302, 0.9975905, -0.07280168, -0.01096473, -0.1412429, 0.9872336, 0, 0, 0.1478094, 0.9890159, -0.06627246, 0.005939428, -0.08906577, 0.9938008, 0.6320502, 0, 0, 0.7749274, 0.0179211, 0, 0, 0.9998394, 0, 0, 0, 1, -0.00950114, 0.0001241675, -0.01306699, 0.9998695, 0.1451796, 0, 0, 0.9894053, 0.4246769, 0, 0, 0.905345, 0, 0, -0.1305262, 0.9914449, 0.01724012, 0.002717347, 0.1556718, 0.9876546, 0.214137, 0, 0, 0.9768036, 0.4713994, 0, 0, 0.8819198, 0, 0, -0.3007058, 0.953717, -0.02367101, -0.008290076, 0.3457919, 0.937976, 0.3923993, 0, 0, 0.919795, 0.3595338, 0, 0, 0.9331321
131029684371144670, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0.5372996, 0.8433914, 0.1722225, 0.1130729, -0.2823414, 0.9369297, 0.06369487, 2.79971E-09, -0.006369497, 0.9979491, -0.07904951, -0.01190573, -0.140545, 0.9868417, 0, 0, 0.1478094, 0.9890159, -0.04780031, 0.004774184, -0.09926848, 0.9939005, 0.6283732, 0, 0, 0.777912, 0.01694609, 0, 0, 0.9998564, 0, 0, 0, 1, 0.03499271, -0.0008618663, -0.02460733, 0.9990842, 0.0516757, 0, 0, 0.9986639, 0.4916629, 0, 0, 0.8707856, 0, 0, -0.1305262, 0.9914449, 0.006345974, 0.0009493105, 0.1479433, 0.988975, 0.220429, 0, 0, 0.975403, 0.4788756, 0, 0, 0.8778828, 0, 0, -0.3007058, 0.953717, -0.06286346, -0.02316881, 0.3411983, 0.9376007, 0.4987829, 0, 0, 0.8667269, 0.2085294, 0, 0, 0.9780161
