Timestamp, JOINT_WRIST_x_L, JOINT_WRIST_y_L, JOINT_WRIST_z_L, JOINT_CENTER_x_L, JOINT_CENTER_y_L, JOINT_CENTER_z_L, JOINT_THUMB_BASE_x_L, JOINT_THUMB_BASE_y_L, JOINT_THUMB_BASE_z_L, JOINT_THUMB_JT1_x_L, JOINT_THUMB_JT1_y_L, JOINT_THUMB_JT1_z_L, JOINT_THUMB_JT2_x_L, JOINT_THUMB_JT2_y_L, JOINT_THUMB_JT2_z_L, JOINT_THUMB_TIP_x_L, JOINT_THUMB_TIP_y_L, JOINT_THUMB_TIP_z_L, JOINT_INDEX_BASE_x_L, JOINT_INDEX_BASE_y_L, JOINT_INDEX_BASE_z_L, JOINT_INDEX_JT1_x_L, JOINT_INDEX_JT1_y_L, JOINT_INDEX_JT1_z_L, JOINT_INDEX_JT2_x_L, JOINT_INDEX_JT2_y_L, JOINT_INDEX_JT2_z_L, JOINT_INDEX_TIP_x_L, JOINT_INDEX_TIP_y_L, JOINT_INDEX_TIP_z_L, JOINT_MIDDLE_BASE_x_L, JOINT_MIDDLE_BASE_y_L, JOINT_MIDDLE_BASE_z_L, JOINT_MIDDLE_JT1_x_L, JOINT_MIDDLE_JT1_y_L, JOINT_MIDDLE_JT1_z_L, JOINT_MIDDLE_JT2_x_L, JOINT_MIDDLE_JT2_y_L, JOINT_MIDDLE_JT2_z_L, JOINT_MIDDLE_TIP_x_L, JOINT_MIDDLE_TIP_y_L, JOINT_MIDDLE_TIP_z_L, JOINT_RING_BASE_x_L, JOINT_RING_BASE_y_L, JOINT_RING_BASE_z_L, JOINT_RING_JT1_x_L, JOINT_RING_JT1_y_L, JOINT_RING_JT1_z_L, JOINT_RING_JT2_x_L, JOINT_RING_JT2_y_L, JOINT_RING_JT2_z_L, JOINT_RING_TIP_x_L, JOINT_RING_TIP_y_L, JOINT_RING_TIP_z_L, JOINT_PINKY_BASE_x_L, JOINT_PINKY_BASE_y_L, JOINT_PINKY_BASE_z_L, JOINT_PINKY_JT1_x_L, JOINT_PINKY_JT1_y_L, JOINT_PINKY_JT1_z_L, JOINT_PINKY_JT2_x_L, JOINT_PINKY_JT2_y_L, JOINT_PINKY_JT2_z_L, JOINT_PINKY_TIP_x_L, JOINT_PINKY_TIP_y_L, JOINT_PINKY_TIP_z_L
131029684367968412, 497.7213, 460.1201, 0, 496.826, 370.3948, 0, 466.4684, 430.7017, 0, 432.1394, 364.5558, 0, 399.273, 316.1881, 0, 383.8896, 282.9241, 0, 458.232, 289.713, 0, 461.9564, 211.4961, 0, 442.0469, 181.0807, 0, 415.2668, 186.6786, 0, 496.0187, 289.4872, 0, 512.2598, 200.6097, 0, 487.1783, 158.2567, 0, 459.884, 163.4729, 0, 532.9305, 298.9384, 0, 548.1016, 210.9357, 0, 532.1854, 171.0718, 0, 503.9917, 161.1059, 0, 585.1782, 331.0851, 0, 597.6344, 246.4091, 0, 586.1494, 211.5526, 0, 564.9348, 209.859, 0
131029684368469926, 492.8811, 466.9376, 0, 486.0936, 384.3417, 0, 460.3373, 437.3197, 0, 415.6587, 376.6776, 0, 383.5942, 325.6414, 0, 378.4965, 285.8142, 0, 443.3819, 301.6319, 0, 450.0317, 224.8892, 0, 428.1073, 201.9508, 0, 410.9081, 183.0368, 0, 484.2995, 303.0378, 0, 486.3867, 208.6971, 0, 487.336, 156.1509, 0, 467.7659, 128.4815, 0, 523.8384, 314.0804, 0, 535.9692, 226.5686, 0, 522.4399, 187.6686, 0, 502.46, 164.0115, 0, 579.0016, 348.027, 0, 578.6982, 262.0224, 0, 569.266, 226.239, 0, 558.9987, 210.5392, 0
131029684368637098, 493.9144, 461.2629, 0, 493.638, 368.2931, 0, 461.1251, 432.0048, 0, 418.2178, 361.1687, 0, 383.1859, 313.6647, 0, 375.8871, 283.2996, 0, 445.2199, 284.34, 0, 444.2804, 206.241, 0, 417.4268, 192.1887, 0, 390.7996, 178.2548, 0, 485.3403, 286.5137, 0, 488.5827, 191.7728, 0, 483.3538, 136.2949, 0, 463.8, 122.226, 0, 528.834, 298.6273, 0, 517.0386, 206.8296, 0, 501.1651, 164.1872, 0, 474.1301, 156.2801, 0, 582.6485, 332.1383, 0, 573.7173, 246.7209, 0, 555.15, 221.2439, 0, 535.3516, 215.4117, 0
131029684369138612, 494.2767, 458.2922, 0, 492.2126, 367.5211, 0, 461.374, 429.249, 0, 417.8141, 361.1574, 0, 382.655, 313.8078, 0, 370.2819, 282.1107, 0, 444.4954, 284.3569, 0, 443.299, 206.2208, 0, 416.359, 192.3736, 0, 389.6404, 178.6402, 0, 484.5337, 286.5307, 0, 487.4713, 191.7731, 0, 482.0505, 136.293, 0, 458.3364, 116.0384, 0, 526.8884, 298.5265, 0, 513.182, 207.0424, 0, 490.3433, 166.5345, 0, 468.3374, 160.0851, 0, 581.2061, 332.4575, 0, 572.6177, 246.7122, 0, 553.6049, 222.6271, 0, 533.9, 219.4306, 0
131029684369472955, 493.8477, 456.2208, 0, 489.8061, 370.5618, 0, 461.0336, 427.4211, 0, 418.1032, 360.5519, 0, 383.8464, 312.9582, 0, 373.5893, 281.1377, 0, 443.5632, 284.8501, 0, 442.3079, 207.1059, 0, 415.4599, 193.4448, 0, 388.8437, 179.9016, 0, 483.274, 287.0534, 0, 486.1019, 192.8484, 0, 480.6404, 137.7105, 0, 459.7088, 120.4312, 0, 524.9119, 298.8359, 0, 511.859, 208.067, 0, 494.657, 166.5955, 0, 467.3118, 161.2569, 0, 579.0713, 335.8775, 0, 570.502, 247.5799, 0, 551.8921, 222.6704, 0, 532.2037, 217.3993, 0
131029684369807298, 493.1225, 454.8571, 0, 488.7822, 369.8073, 0, 460.3952, 426.2157, 0, 417.6604, 360.2516, 0, 383.8724, 312.5366, 0, 370.9075, 279.8916, 0, 442.5007, 285.0946, 0, 441.2334, 207.5449, 0, 414.4048, 193.9759, 0, 387.8132, 180.5268, 0, 481.9976, 287.3123, 0, 484.7769, 193.3813, 0, 479.289, 138.4131, 0, 455.6364, 118.5426, 0, 520.7402, 299.0406, 0, 510.5061, 208.5739, 0, 493.3736, 167.2114, 0, 466.0489, 161.8359, 0, 577.2109, 333.0532, 0, 564.722, 248.4513, 0, 544.1489, 225.0835, 0, 528.1089, 218.3092, 0
131029684370141641, 492.7004, 454.0047, 0, 487.9859, 369.3778, 0, 459.9807, 425.4802, 0, 417.2848, 360.2703, 0, 383.0412, 312.9263, 0, 369.8998, 279.8925, 0, 441.5351, 285.3593, 0, 440.0532, 207.8065, 0, 413.1438, 194.4052, 0, 386.47, 181.1212, 0, 480.9227, 287.5648, 0, 483.4285, 193.6537, 0, 477.7657, 138.7168, 0, 454, 119.0073, 0, 519.583, 299.2702, 0, 507.2422, 209.3691, 0, 489.6604, 168.4214, 0, 464.5579, 162.3242, 0, 575.8511, 333.2749, 0, 555.4459, 249.3447, 0, 535.1967, 226.3257, 0, 520.4747, 222.1593, 0
131029684370475984, 491.5756, 453.2938, 0, 486.7508, 369.1793, 0, 459.1567, 424.7769, 0, 416.5574, 360.3598, 0, 381.2917, 313.7516, 0, 368.2753, 278.5523, 0, 440.6385, 285.6836, 0, 439.3243, 208.2385, 0, 412.198, 195.0096, 0, 385.3409, 181.9121, 0, 479.5684, 288.0834, 0, 480.9193, 194.8238, 0, 476.9465, 139.4416, 0, 453.1711, 119.2179, 0, 516.4425, 300.2771, 0, 505.6973, 210.256, 0, 488.5037, 169.0305, 0, 462.8831, 162.0306, 0, 566.2985, 335.7404, 0, 555.2334, 250.8974, 0, 539.4099, 226.189, 0, 523.1788, 219.1553, 0
131029684370810327, 490.5239, 452.6175, 0, 485.8554, 368.8943, 0, 458.4873, 423.9695, 0, 416.2058, 359.9163, 0, 380.3835, 313.7038, 0, 368.1739, 277.9644, 0, 440.4633, 285.4947, 0, 437.5895, 208.1845, 0, 407.6185, 196.887, 0, 379.8502, 185.405, 0, 478.9698, 288.2103, 0, 475.2753, 195.6597, 0, 464.0765, 138.5177, 0, 441.9666, 120.3694, 0, 515.499, 300.7286, 0, 505.3741, 210.5531, 0, 488.5116, 168.9843, 0, 462.1716, 161.3741, 0, 563.1804, 338.0084, 0, 555.9803, 251.7694, 0, 539.2045, 226.4909, 0, 522.0521, 219.1214, 0
131029684371144670, 489.4395, 452.574, 0, 483.5967, 368.9722, 0, 457.7059, 423.774, 0, 415.6185, 360.0758, 0, 379.7747, 313.8563, 0, 367.7524, 277.948, 0, 440.0179, 285.8068, 0, 434.8389, 208.6223, 0, 404.9871, 198.2798, 0, 376.3271, 188.1295, 0, 476.1297, 289.5465, 0, 470.3911, 196.3156, 0, 462.7302, 140.1268, 0, 434.8396, 121.4821, 0, 510.7403, 303.4695, 0, 504.0226, 211.5139, 0, 487.0124, 169.8147, 0, 459.0155, 163.2228, 0, 559.4879, 341.8207, 0, 555.9504, 253.1678, 0, 535.9775, 228.0867, 0, 517.0918, 221.404, 0
